"","time","HbMet","hpx","precip","residue"
"519",518,NA,NA,NA,NA
"520",519,NA,NA,NA,NA
"521",520,NA,NA,NA,NA
"522",521,NA,NA,NA,NA
"523",522,NA,NA,NA,NA
"524",523,NA,NA,NA,NA
"525",524.001,NA,NA,NA,NA
"526",525.001,NA,NA,NA,NA
"527",526.001,NA,NA,NA,NA
"528",527.001,NA,NA,NA,NA
"529",528,NA,NA,NA,NA
"530",529,NA,NA,NA,NA
"531",530,NA,NA,NA,NA
"532",531,NA,NA,NA,NA
"533",532,NA,NA,NA,NA
"534",533,NA,NA,NA,NA
"535",534,NA,NA,NA,NA
"536",535.001,NA,NA,NA,NA
"537",536.001,NA,NA,NA,NA
"538",537.001,NA,NA,NA,NA
"539",538.001,NA,NA,NA,NA
"540",539,NA,NA,NA,NA
"541",540,NA,NA,NA,NA
"542",541,NA,NA,NA,NA
"543",542,NA,NA,NA,NA
"544",543,NA,NA,NA,NA
"545",544,NA,NA,NA,NA
"546",545.001,NA,NA,NA,NA
"547",546.001,NA,NA,NA,NA
"548",547.001,NA,NA,NA,NA
"549",548.001,NA,NA,NA,NA
"550",549,NA,NA,NA,NA
"551",550,NA,NA,NA,NA
"552",551,NA,NA,NA,NA
"553",552,NA,NA,NA,NA
"554",553,NA,NA,NA,NA
"555",554,NA,NA,NA,NA
"556",555,NA,NA,NA,NA
"557",556.001,NA,NA,NA,NA
"558",557.001,NA,NA,NA,NA
"559",558.001,NA,NA,NA,NA
"560",559,NA,NA,NA,NA
"561",560,NA,NA,NA,NA
"562",561,NA,NA,NA,NA
"563",562,NA,NA,NA,NA
"564",563,NA,NA,NA,NA
"565",564,NA,NA,NA,NA
"566",565,NA,NA,NA,NA
"567",566.001,NA,NA,NA,NA
"568",567.001,NA,NA,NA,NA
"569",568.001,NA,NA,NA,NA
"570",569.001,NA,NA,NA,NA
"571",570,NA,NA,NA,NA
"572",571,NA,NA,NA,NA
"573",572,NA,NA,NA,NA
"574",573,NA,NA,NA,NA
"575",574,NA,NA,NA,NA
"576",575,NA,NA,NA,NA
"577",576,NA,NA,NA,NA
"578",577.001,NA,NA,NA,NA
"579",578.001,NA,NA,NA,NA
"580",579.001,NA,NA,NA,NA
"581",580,NA,NA,NA,NA
